"","Pvalb","Sncg","Sst","Lamp5","Vip","Pvalb.Vip.3","Pvalb.Sst.1","Lamp5.Vip.2","Sncg.Vip.1"
"Dlx2",0.0327322775712461,-1.91948756007893,1.10700765359773,-0.56126967861343,-0.197683749451043,0.215301064106936,1.08771302656155,-0.763324538630476,-1.14008088325593
"GBX1",0.170463533561018,-0.635195334411293,-2.34328486556679,0.396056719662089,1.22354882067824,-1.84371272931545,-2.29103428100169,0.401914528301996,0.456132312624666
"HMBOX1",-0.860773083798881,-0.777109470226687,-0.181945299460442,1.66177328261525,-0.491600372606829,1.11040384024493,-0.677054888837817,1.3506673947197,-0.504589283791995
"FOXK1",1.5589708039984,-2.80742513867062,1.83544723323659,-3.09246440013878,-3.85957846279224,-1.86183659074593,2.94368636049275,-3.63092984592397,-4.28874620784403
"GATA2",-0.399806116372153,-2.38495183954066,2.03665080926533,-1.61187586012272,-0.662177540657825,-0.55753318574736,1.71285571783816,-1.90311919692605,-1.7508513175306
"HIF1A",-1.18330907961627,2.08798766835216,-0.713817739070104,0.391541566619041,1.37459557673506,-0.706499980484052,-1.41093790586477,0.767847364831182,1.87663703343808
"MYC",-1.42306842223947,1.42170054970192,-0.255634374615861,0.32645936810169,0.866370914022561,-0.760822415366762,-1.1747459964818,0.603243667063466,1.20681047490061
"MYB",1.04861933761496,-1.74605057494425,-0.214231579236641,-1.59909285607888,0.102188331411411,-1.61649770130556,0.549026653060724,-1.6564497962804,-1.0363381267126
"MYCN",-1.80499194987108,1.36330984221113,-0.367654259161849,0.986384203741949,1.50050107258359,-0.201330396859336,-1.78264974724961,1.24608692067353,1.74592068422415
"NFIC",-2.12454243545122,2.92122990585259,-4.6959932923197,2.37972955644452,3.56518107012838,-2.31711668766765,-5.63805800614932,2.84871423901951,3.7614568846298
"NFYA",-1.74291514562929,1.65607740731654,0.726814202940262,0.700922517587752,-0.476906178257172,0.511312184277717,-0.432646430247008,0.767809354001301,0.644711314695632
"NR1H4",0.810628483259326,-0.296984040668641,-1.1609430168571,-1.18261793062876,0.303463464395912,-2.02520485267868,-0.640527183100065,-1.0910195858904,-0.0986162106983723
"NR2F2",4.65914272813949,-2.37993742132881,-3.44652247401428,-3.1138033703468,0.494988356886602,-4.64334252856512,-0.459000845085276,-3.13029145768729,-1.2596507246438
"PAX5",-0.199262412498098,1.18797531579284,-2.70692107038906,0.638178023087344,1.7280817326106,-2.10635266116189,-2.97017280113412,0.891118897102087,1.75539366222838
"PBX3",-0.0877113461433477,0.0785428069410129,-1.44388069940034,-0.129369092163727,0.723145998599506,-1.8386345188575,-1.4374401914069,-0.0301372504944259,0.448740622184803
"POU5F1",-4.33966687389383,0.715818670076376,4.3398033693438,-0.727289754937813,1.11698008887656,0.759136670772194,1.10576036311307,-0.350450038581041,0.931892747182954
"RBPJ",0.377098116853033,0.0604238966114251,-1.03564898782804,1.84005692124051,-1.13609192398103,0.84641900911776,-0.72071464631595,1.41535334115852,-0.570747697015703
"RELB",-0.874075475882656,-0.369371551468842,1.38851804271161,-1.02267797116541,-0.18943831707287,-0.360140479555579,0.744183366847868,-0.98247878451554,-0.380842755061434
"SOX10",-4.20252199959799,2.19853085220957,-1.10229952787774,2.3318849745341,3.73036851205117,-0.486750715685183,-3.96008987571536,2.80042602141416,3.38323482183074
"SOX13",-3.99419235954347,2.64886952115361,-0.947523952926732,2.23070551326378,3.07267128935597,-0.321325271543542,-3.77400995779786,2.76373779556935,3.57039607539526
